Edelar/Cons Propios	Capital	Chilecito	Aimogasta	Sur	Villa Unión	Total						
11/2002	 0.044 	 0.067 	 0.010 	 0.006 	 0.006 	 0.133 			
12/2002	 0.052 	 0.026 	 0.011 	 0.007 	 0.007 	 0.103 			
01/2003	 0.070 	 0.029 	 0.010 	 0.007 	 0.007 	 0.124 			
02/2003	 0.093 	 0.051 	 0.004 	 0.007 	 -   	 0.155 			
03/2003	 0.065 	 0.048 	 0.016 	 0.007 	 0.012 	 0.149 			
04/2003	 0.056 	 0.044 	 0.003 	 0.006 	 0.006 	 0.115 			
05/2003	 0.067 	 0.028 	 0.009 	 0.006 	 0.008 	 0.119 			
06/2003	 0.040 	 0.019 	 0.005 	 0.007 	 0.009 	 0.079 			
07/2003	 0.065 	 0.020 	 0.006 	 0.007 	 0.010 	 0.108 			
08/2003	 0.060 	 0.034 	 0.004 	 0.007 	 0.011 	 0.116 				
09/2003	 0.070 	 0.035 	 0.007 	 0.006 	 0.011 	 0.128 				
10/2003	 0.068 	 0.027 	 0.005 	 0.006 	 0.009 	 0.116 				
11/2003	 0.066 	 0.031 	 0.014 	 0.007 	 0.007 	 0.124 				
12/2003	 0.090 	 0.034 	 0.009 	 0.007 	 0.007 	 0.148 				
01/2004	 0.081 	 0.034 	 0.009 	 0.008 	 0.007 	 0.139 				
02/2004	 0.088 	 0.018 	 0.009 	 0.007 	 0.006 	 0.129 				
03/2004	 0.077 	 0.039 	 0.008 	 0.007 	 0.004 	 0.135 				
04/2004	 0.062 	 0.019 	 0.009 	 0.007 	 0.003 	 0.100 				
05/2004	 0.056 	 0.026 	 0.007 	 0.007 	 0.006 	 0.102 				
06/2004	 0.048 	 0.033 	 0.006 	 0.009 	 0.009 	 0.104 				
07/2004	 0.066 	 0.025 	 0.005 	 0.010 	 0.007 	 0.114 				
08/2004	 0.062 	 0.026 	 0.007 	 0.010 	 0.005 	 0.111 				
09/2004	 0.053 	 0.034 	 0.008 	 0.009 	 0.008 	 0.113 				
10/2004	 0.076 	 0.038 	 0.010 	 0.008 	 0.003 	 0.135 				
11/2004	 0.080 	 0.044 	 0.010 	 0.008 	 0.003 	 0.146 				
12/2004	 0.056 	 0.042 	 0.010 	 0.009 	 0.003 	 0.120 				
01/2005	 0.067 	 0.037 	 0.011 	 0.011 	 0.005 	 0.130 				
02/2005	 0.121 	 0.023 	 0.011 	 0.010 	 0.004 	 0.170 				
03/2005	 0.066 	 0.058 	 0.012 	 0.012 	 0.002 	 0.151 				
04/2005	 0.061 	 0.018 	 0.010 	 0.011 	 0.004 	 0.104 				
05/2005	 0.050 	 0.016 	 0.011 	 0.007 	 0.006 	 0.089 				
06/2005	 0.049 	 0.019 	 0.010 	 0.010 	 0.006 	 0.094 				
07/2005	 0.068 	 0.019 	 0.010 	 0.008 	 0.006 	 0.112 				
