Edesal/Frontera	San Luis	V. Merc,/J.D	La Toma	Merlo	Quines	Fortuna	Total							
01/2006	 -3.515 	 0.331 	 1.198 	 -2.616 	 4.602 	 -   	 -   
02/2006	 -3.008 	 0.437 	 1.276 	 -2.622 	 3.918 	 -   	 -   
03/2006	 -2.488 	 0.461 	 0.407 	 -2.610 	 4.230 	 -   	 -   
04/2006	 -1.241 	 0.432 	 -0.271 	 -1.368 	 2.448 	 -   	 -0.000 
05/2006	 -1.370 	 0.470 	 -0.072 	 -1.272 	 2.244 	 -   	 -   
06/2006	 -1.483 	 0.451 	 -0.036 	 -1.212 	 2.280 	 -   	 -0.000 
07/2006	 -1.549 	 0.446 	 -0.091 	 -1.692 	 2.886 	 -   	 0.000 
08/2006	 -1.878 	 0.422 	 -0.020 	 -1.938 	 3.414 	 -   	 0.000 
09/2006	 -1.651 	 0.403 	 -0.024 	 -2.832 	 4.104 	 -   	 -   
10/2006	 -1.570 	 0.384 	 -0.002 	 -3.444 	 4.632 	 -   	 -   
11/2006	 -1.548 	 0.360 	 -0.012 	 -2.556 	 3.756 	 -   	 -0.000 
12/2006	 -1.670 	 0.389 	 0.004 	 -1.806 	 3.084 	 -   	 -   
01/2007	 -1.492 	 0.370 	 -0.306 	 -2.922 	 4.350 	 -   	 -0.000 
02/2007	 -1.415 	 0.312 	 -0.307 	 -2.796 	 4.206 	 -   	 0.000 
03/2007	 -1.634 	 0.490 	 0.443 	 -2.586 	 3.288 	 -   	 -   
04/2007	 -1.787 	 0.528 	 2.153 	 -3.036 	 2.142 	 -   	 -   
05/2007	 -1.351 	 0.418 	 1.930 	 -3.408 	 2.412 	 -   	 -   
06/2007	 -2.052 	 0.523 	 1.613 	 -2.916 	 2.832 	 -   	 -   
07/2007	 -1.412 	 0.230 	 1.170 	 -3.138 	 3.150 	 -   	 -0.000 
08/2007	 -1.966 	 0.456 	 1.750 	 -3.948 	 3.708 	 -   	 -   							
09/2007	 -1.831 	 0.389 	 1.676 	 -4.650 	 4.416 	 -   	 -   							
10/2007	 -2.034 	 0.437 	 1.801 	 -6.066 	 5.862 	 -   	 -   							
11/2007	 -1.982 	 0.398 	 1.524 	 -5.724 	 5.784 	 -   	 -0.000 							
12/2007	 -1.945 	 0.394 	 0.970 	 -4.956 	 5.538 	 -   	 -   							
01/2008	 -1.933 	 0.374 	 0.731 	 -4.494 	 5.322 	 -   	 -   							
02/2008	 -1.712 	 0.499 	 1.165 	 -3.054 	 3.102 	 -   	 -   							
03/2008	 -1.295 	 0.331 	 1.030 	 -3.600 	 3.534 	 -   	 -   							
04/2008	 -1.223 	 0.394 	 1.135 	 -3.036 	 2.730 	 -   	 -0.000 							
05/2008	 -1.271 	 0.475 	 1.090 	 -3.240 	 2.946 	 -   	 -   							
06/2008	 -0.220 	 0.034 	 1.044 	 -4.560 	 3.702 	 -   	 0.000 							
07/2008	 -0.340 	 -   	 0.772 	 -4.206 	 3.774 	 -   	 -0.000 							
08/2008	 -0.751 	 0.312 	 0.625 	 -4.542 	 4.356 	 -   	 -   							
09/2008	 -1.595 	 0.322 	 1.063 	 -4.956 	 5.166 	 -   	 -   							
10/2008	 -1.574 	 -0.192 	 1.226 	 -5.892 	 6.432 	 -   	 -   							
11/2008	 -0.074 	 -1.483 	 0.628 	 -3.918 	 4.848 	 -   	 -   							
12/2008	 0.038 	 -1.109 	 0.626 	 -4.128 	 4.572 	 -   	 -   
01/2009	 -0.541 	 -1.013 	 -0.216 	 -2.532 	 4.302 	 -   	 -   
02/2009	 -1.214 	 -0.432 	 -0.178 	 -3.684 	 5.508 	 -   	 -   
03/2009	 -1.577 	 -0.504 	 3.737 	 -7.656 	 6.000 	 -   	 -   
04/2009	 -1.171 	 -0.480 	 1.333 	 -3.654 	 3.972 	 -   	 -   
05/2009	 -0.896 	 -0.509 	 1.021 	 -2.898 	 3.282 	 -   	 -   
06/2009	 -1.408 	 -0.533 	 0.764 	 -2.406 	 3.582 	 -   	 -   
07/2009	 0.020 	 -1.142 	 0.870 	 -2.562 	 2.190 	 0.624 	 -   
08/2009	 -1.788 	 -1.228 	 0.370 	 -3.300 	 5.208 	 0.738 	 -   
09/2009	 -2.538 	 -1.016 	 0.776 	 -4.806 	 7.038 	 0.546 	 -   
10/2009	 -1.571 	 -1.063 	 0.948 	 -5.796 	 6.918 	 0.564 	 -   
11/2009	 -2.096 	 -0.949 	 0.940 	 -5.382 	 6.990 	 0.498 	 0.000 
12/2009	 -1.810 	 -0.841 	 1.175 	 -4.194 	 5.280 	 0.390 	 -   
01/2010	 -2.224 	 -0.716 	 0.978 	 -5.586 	 7.230 	 0.318 	 -   
02/2010	 -2.009 	 -1.012 	 1.376 	 -5.706 	 6.804 	 0.546 	 -   
03/2010	 -2.047 	 -0.961 	 1.466 	 -5.196 	 6.300 	 0.438 	 -   
04/2010	 -1.447 	 -1.015 	 1.190 	 -3.360 	 4.092 	 0.540 	 -   
05/2010	 -1.410 	 -1.110 	 0.942 	 -2.610 	 3.606 	 0.582 	 -   
06/2010	 -1.390 	 -1.204 	 0.787 	 -3.276 	 4.392 	 0.690 	 -   
07/2010	 -0.233 	 -1.096 	 1.316 	 -4.398 	 3.732 	 0.678 	 0.000 
08/2010	 -1.760 	 -1.010 	 1.601 	 -4.812 	 5.490 	 0.492 	 -   
09/2010	 -2.215 	 -0.946 	 1.865 	 -6.360 	 7.176 	 0.480 	 -0.000 
10/2010	 -2.336 	 -0.677 	 1.441 	 -6.882 	 8.214 	 0.240 	 -0.000 
11/2010	 -2.021 	 -0.847 	 0.528 	 -4.656 	 6.600 	 0.396 	 -   
12/2010	 -2.028 	 -0.780 	 -0.066 	 -4.722 	 7.272 	 0.324 	 -   
01/2011	 -1.484 	 -1.177 	 0.010 	 -5.424 	 7.350 	 0.726 	 -0.000 
02/2011	 -1.649 	 -0.898 	 -0.058 	 -4.680 	 6.924 	 0.360 	 0.000 
