Edesa/Otros	Cafayate	Capital	Güemes	J V González	La Candelaria	Metán	Orán	S A Cobres	S Aislados	Tartagal	Valle de Lerma	Total	
09/2002	 -   	 -   	 -   	 -   	 0.196 	 -   	 0.164 	 -   	 -   	 -   	 -   	 0.360 
10/2002	 -   	 -   	 -   	 -   	 0.218 	 -   	 0.038 	 -   	 -   	 -   	 -   	 0.256 
11/2002	 -   	 -   	 -   	 -   	 0.212 	 -   	 -   	 -   	 -   	 -   	 -   	 0.212 
12/2002	 -   	 -   	 -   	 -   	 0.221 	 -   	 -   	 -   	 -   	 -   	 -   	 0.221 
01/2003	 -   	 -   	 -   	 -   	 0.236 	 -   	 -   	 -   	 -   	 -   	 -   	 0.236 
02/2003	 -   	 -   	 -   	 -   	 0.219 	 -   	 -   	 -   	 -   	 -   	 -   	 0.219 
03/2003	 -   	 -   	 -   	 -   	 0.234 	 -   	 -   	 -   	 -   	 -   	 -   	 0.234 
04/2003	 -   	 -   	 -   	 -   	 0.208 	 -   	 -   	 -   	 -   	 -   	 -   	 0.208 
05/2003	 -   	 -   	 -   	 -   	 0.213 	 -   	 -   	 -   	 -   	 -   	 -   	 0.213 
06/2003	 -   	 -   	 -   	 -   	 0.213 	 -   	 -   	 -   	 -   	 -   	 -   	 0.213 
07/2003	 -   	 -   	 -   	 -   	 0.222 	 -   	 -   	 -   	 -   	 -   	 -   	 0.222 
08/2003	 -   	 -   	 -   	 -   	 0.226 	 -   	 0.202 	 -   	 -   	 -   	 -   	 0.427 
09/2003	 -   	 -   	 -   	 -   	 0.215 	 -   	 0.360 	 -   	 -   	 -   	 -   	 0.575 
10/2003	 -   	 -   	 -   	 -   	 0.230 	 -   	 -   	 -   	 -   	 -   	 -   	 0.230 
11/2003	 -   	 -   	 -   	 -   	 0.233 	 -   	 -   	 -   	 -   	 -   	 -   	 0.233 
12/2003	 -   	 -   	 -   	 -   	 0.237 	 -   	 -   	 -   	 -   	 -   	 -   	 0.237 
01/2004	 -   	 -   	 -   	 -   	 0.254 	 -   	 -   	 -   	 -   	 -   	 -   	 0.254 
02/2004	 -   	 -   	 -   	 -   	 0.241 	 -   	 -   	 -   	 -   	 -   	 -   	 0.241 
03/2004	 -   	 -   	 -   	 -   	 0.270 	 -   	 -   	 -   	 -   	 -   	 -   	 0.270 
04/2004	 -   	 -   	 -   	 -   	 0.250 	 -   	 -   	 -   	 -   	 -   	 -   	 0.250 
05/2004	 -   	 -   	 -   	 -   	 0.245 	 -   	 -   	 -   	 -   	 -   	 -   	 0.245 
06/2004	 -   	 -   	 -   	 -   	 0.237 	 -   	 0.034 	 -   	 -   	 -   	 -   	 0.271 
07/2004	 -   	 -   	 -   	 -   	 0.242 	 -   	 0.482 	 -   	 -   	 -   	 -   	 0.725 
08/2004	 -   	 -   	 -   	 -   	 0.240 	 -   	 0.322 	 -   	 -   	 -   	 -   	 0.563 
09/2004	 -   	 -   	 -   	 -   	 0.234 	 -   	 0.034 	 -   	 -   	 -   	 -   	 0.269 
10/2004	 -   	 -   	 -   	 -   	 0.249 	 -   	 -   	 -   	 -   	 -   	 -   	 0.249 
11/2004	 -   	 -   	 -   	 -   	 0.244 	 -   	 -   	 -   	 -   	 -   	 -   	 0.244 
